iter	Passed	Remaining
163	446	913
164	447	909
165	450	905
166	452	902
167	454	898
168	456	894
169	458	890
170	460	886
171	463	883
172	465	878
173	467	874
174	469	872
175	472	869
176	474	865
177	477	863
178	479	859
179	481	855
180	483	852
181	485	848
182	487	845
183	490	841
184	492	838
185	494	834
186	496	831
187	498	827
188	501	824
189	503	821
190	505	817
191	507	813
192	509	810
193	511	806
194	513	803
195	515	800
196	518	796
197	520	793
198	522	789
199	524	786
200	526	783
201	528	779
202	530	775
203	532	772
204	534	769
205	537	766
206	539	763
207	541	760
208	543	756
209	545	753
210	548	750
211	550	747
212	552	744
213	554	741
214	556	737
215	559	735
216	561	732
217	563	729
218	566	726
219	568	723
220	570	720
221	573	718
222	576	715
223	578	712
224	580	709
225	583	707
226	585	704
227	587	701
228	589	697
229	592	695
230	594	692
231	596	689
232	598	686
233	601	683
234	603	680
235	605	676
236	607	673
237	609	670
238	611	667
239	613	664
240	615	661
241	617	658
242	619	655
243	621	652
244	623	649
245	625	645
246	627	642
247	629	639
248	631	636
249	633	633
250	635	630
251	637	627
252	640	625
253	642	622
254	645	619
255	647	616
256	649	614
257	651	611
258	653	608
259	655	605
260	657	602
261	659	599
262	662	596
263	664	593
264	666	591
265	668	588
266	670	585
267	672	582
268	674	579
269	676	576
270	678	573
271	681	571
272	683	568
273	685	565
274	689	563
275	691	560
276	693	558
277	696	556
278	699	553
279	701	551
280	703	548
281	706	546
282	708	543
283	711	540
284	713	538
285	715	535
286	718	533
287	720	530
288	722	527
289	724	524
290	726	522
291	729	519
292	731	516
293	733	513
294	735	510
295	737	508
296	739	505
297	741	502
298	744	500
299	746	497
300	748	494
301	750	492
302	752	489
303	754	486
304	756	483
305	758	481
306	761	478
307	763	475
308	765	473
309	767	470
310	769	467
311	772	465
312	774	462
313	776	460
314	778	457
315	780	454
316	783	452
317	786	449
318	788	447
319	791	445
320	796	444
321	800	442
322	805	441
323	810	440
324	815	439
325	821	438
326	828	438
327	834	437
328	841	437
329	848	436
330	854	436
331	860	435
332	866	434
333	874	434
334	881	434
335	887	433
336	895	433
337	902	432
338	909	432
339	916	431
340	923	430
341	930	429
342	936	428
343	942	427
344	948	426
345	955	425
346	963	424
347	970	423
348	978	423
349	985	422
350	993	421
351	1001	421
352	1010	420
353	1017	419
354	1023	418
355	1030	416
356	1038	415
357	1046	414
358	1053	413
359	1062	413
360	1070	412
361	1079	411
362	1088	410
363	1096	409
364	1104	408
365	1110	406
366	1117	404
367	1123	402
368	1127	400
369	1132	397
370	1136	395
371	1140	392
372	1143	389
373	1148	386
374	1151	383
375	1153	380
376	1156	377
377	1158	373
378	1160	370
379	1162	367
380	1165	363
381	1167	360
382	1169	357
383	1171	353
384	1173	350
385	1175	347
386	1176	343
387	1178	340
388	1181	337
389	1183	333
390	1185	330
391	1187	327
392	1190	324
393	1193	321
394	1196	317
395	1199	315
396	1203	312
397	1207	309
398	1212	306
399	1217	304
400	1223	302
401	1229	299
402	1234	297
403	1240	294
404	1245	292
405	1250	289
406	1257	287
407	1263	284
408	1269	282
409	1275	279
410	1280	277
411	1286	274
412	1291	271
413	1296	269
414	1300	266
415	1305	263
416	1311	261
417	1319	258
418	1328	256
419	1337	254
420	1346	252
421	1356	250
422	1365	248
423	1375	246
424	1385	244
425	1395	242
426	1405	240
427	1415	238
428	1424	235
429	1433	233
430	1443	231
431	1453	228
432	1461	226
433	1469	223
434	1477	220
435	1485	217
436	1491	215
437	1498	212
438	1504	209
439	1511	206
440	1517	202
441	1522	199
442	1527	196
443	1534	193
444	1541	190
445	1550	187
446	1560	184
447	1570	182
448	1579	179
449	1587	176
450	1595	173
451	1604	170
452	1613	167
453	1623	164
454	1633	161
455	1642	158
456	1654	155
457	1663	152
458	1673	149
459	1681	146
460	1689	142
461	1696	139
462	1703	136
463	1710	132
464	1717	129
465	1726	125
466	1734	122
467	1743	119
468	1751	115
469	1759	112
470	1766	108
471	1775	105
472	1782	101
473	1791	98
474	1798	94
475	1807	91
476	1815	87
477	1823	83
478	1832	80
479	1841	76
480	1849	73
481	1858	69
482	1867	65
483	1875	61
484	1883	58
485	1892	54
486	1900	50
487	1906	46
488	1912	43
489	1918	39
490	1925	35
491	1933	31
492	1939	27
493	1946	23
494	1952	19
495	1957	15
496	1962	11
497	1967	7
498	1972	3
499	1976	0
