iter	Logloss
236	0.3281480204
237	0.32796071
238	0.3276152933
239	0.3270548119
240	0.3270041048
241	0.3265738155
242	0.3265272477
243	0.3255715113
244	0.3255386549
245	0.3252426517
246	0.325196873
247	0.3245217608
248	0.3225894744
249	0.3224854826
250	0.3221689504
251	0.3217994122
252	0.3216407769
253	0.3215510611
254	0.3199415538
255	0.3198451756
256	0.3191931282
257	0.3190486876
258	0.3180264871
259	0.3177907329
260	0.3170019585
261	0.3161650249
262	0.3160951682
263	0.315854644
264	0.3150578323
265	0.3149387535
266	0.3148570664
267	0.3147422957
268	0.3147070806
269	0.3138848959
270	0.313685614
271	0.3133403919
272	0.3130116598
273	0.3123419792
274	0.3122808546
275	0.3122505906
276	0.3121752507
277	0.3119643125
278	0.3118695709
279	0.3115213361
280	0.3113999624
281	0.3111421815
282	0.3111165849
283	0.3109726454
284	0.3108862851
285	0.3108043301
286	0.3106910015
287	0.3105169607
288	0.3103746148
289	0.3103095162
290	0.309816248
291	0.309748709
292	0.3094798627
293	0.3094205934
294	0.3089197514
295	0.3080642771
296	0.3076002918
297	0.3070911505
298	0.3064955563
299	0.3057942079
300	0.3052177869
301	0.3050604865
302	0.3050076284
303	0.3048890753
304	0.3047141998
305	0.3042372639
306	0.3041883375
307	0.3040795808
308	0.3040617716
309	0.3034305221
310	0.3019828813
311	0.3017370361
312	0.3013122245
313	0.3007474073
314	0.300704243
315	0.3006596988
316	0.3005539893
317	0.3002048561
318	0.3001076275
319	0.2994816367
320	0.2991604641
321	0.2985751009
322	0.2984111069
323	0.2979117472
324	0.2977311219
325	0.2975758385
326	0.2973262587
327	0.2971209028
328	0.2966002762
329	0.2964112496
330	0.295905534
331	0.2957349827
332	0.2953551039
333	0.2949967556
334	0.2943489648
335	0.2920597154
336	0.292030622
337	0.2917455241
338	0.2915726292
339	0.2915460391
340	0.2904360403
341	0.2902388828
342	0.289992874
343	0.2899180445
344	0.2894990448
345	0.289169393
346	0.2887642477
347	0.2883989648
348	0.2877378677
349	0.2874012498
350	0.2870880011
351	0.2870208835
352	0.2867153798
353	0.2854435936
354	0.2847390575
355	0.284701103
356	0.2845994773
357	0.2843777763
358	0.2837267762
359	0.2834457312
360	0.2833174151
361	0.282732168
362	0.2825249711
363	0.2820488722
364	0.281931227
365	0.281592437
366	0.2811616577
367	0.28112399
368	0.28062355
369	0.2805939692
370	0.280349468
371	0.2798830585
372	0.2795928408
373	0.2795144661
374	0.2791473672
375	0.2789584493
376	0.2784944974
377	0.2772741757
378	0.2770996779
379	0.2748678744
380	0.2747692251
381	0.2745720006
382	0.2743508404
383	0.2742583716
384	0.274070351
385	0.2737164066
386	0.2723183693
387	0.2712186841
388	0.2708532545
389	0.2706647988
390	0.2706541063
391	0.2703664522
392	0.2700679935
393	0.2698926698
394	0.2697603557
395	0.2694393333
396	0.2692688626
397	0.2692586883
398	0.2687719217
399	0.2685089849
400	0.2683323911
401	0.2683043631
402	0.2680853901
403	0.2679611945
404	0.2678675201
405	0.2677928693
406	0.2676277235
407	0.2676024792
408	0.2675586004
409	0.2675500107
410	0.2674674683
411	0.2673486089
412	0.2671972052
413	0.2670844322
414	0.2669565107
415	0.2667864101
416	0.2665315383
417	0.2664381671
418	0.266205223
419	0.2659919685
420	0.2657576681
421	0.265540238
422	0.2653957225
423	0.2650738272
424	0.2648369529
425	0.2646476752
426	0.2644953836
427	0.2640824027
428	0.2627856221
429	0.2625826135
430	0.2625343006
431	0.2620986316
432	0.2617826746
433	0.2617271844
434	0.2615649889
435	0.2615333864
436	0.2614160804
437	0.2613366798
438	0.2612298417
439	0.2611144886
440	0.2609455506
441	0.2608338157
442	0.260732443
443	0.2606845019
444	0.2603142859
445	0.2602943506
446	0.2602024904
447	0.2601752181
448	0.2601447007
449	0.2600310062
450	0.2599550368
451	0.2599500518
452	0.2598182059
453	0.2597576319
454	0.2596708161
455	0.2595847108
456	0.2595002227
457	0.2594109241
458	0.2592787549
459	0.2592196427
460	0.2591645087
461	0.2589744239
462	0.2587993826
463	0.258709367
464	0.2586545274
465	0.2586088934
466	0.2586012903
467	0.2585565439
468	0.2585496209
469	0.258475936
470	0.2583785149
471	0.2583066444
472	0.2582760925
473	0.2581939402
474	0.2580163514
475	0.2580047951
476	0.2579538031
477	0.2578448069
478	0.2578383124
479	0.2577937553
480	0.2576900003
481	0.2576417499
482	0.2576050509
483	0.2574853407
484	0.2574328716
485	0.2574269091
486	0.2573878765
487	0.257291115
488	0.2572406044
489	0.2571035816
490	0.2570412776
491	0.2569766148
492	0.2569060971
493	0.2568465527
494	0.2567603768
495	0.2567161454
496	0.2566405281
497	0.2565914718
498	0.2565402121
499	0.2564830581
